Chamber	Well	Condition	Microbe	Moss	Week.0	Week.1	Week.2	Week.3	Week.4
0C	1	Ambient	BAA	Fallax	0.024888178	0.036669165	0.048555777	0.260899287	0.3420138
0C	2	Ambient	BAA	Fallax	0.270254452	0.350554609	0.429666943	0.499103431	0.5752218
0C	3	Ambient	BAA	Fallax	0.024342082	0.036491502	0.04902808	0.20551771	0.2898126
0C	4	Ambient	BAA	Fallax	0.17282652	0.283158376	0.397006511	0.516399025	0.6428472
0C	5	Ambient	BAA	Fallax	0.023900778	0.036376622	0.047750339	0.171371294	0.271215
0C	6	Ambient	BAA	Fallax	0.023968706	0.036196301	0.04904904	0.128759792	0.2196288
2.25C	1	Ambient	BAA	Fallax	0.332444816	0.316362411	0.347653297	0.382087687	0.40244944
2.25C	2	Ambient	BAA	Fallax	0.451001638	0.502782801	0.548239512	0.606530105	0.66191613
2.25C	3	Ambient	BAA	Fallax	0.14964908	0.18188843	0.178666152	0.18893237	0.21106035
2.25C	4	Ambient	BAA	Fallax	0.376303532	0.43140901	0.51602493	0.562819132	0.62395891
2.25C	5	Ambient	BAA	Fallax	0.258911516	0.268742712	0.262699624	0.26336532	0.272031275
2.25C	6	Ambient	BAA	Fallax	0.189361268	0.214307273	0.202715308	0.187979705	0.18090039
4.5C	1	Ambient	BAA	Fallax	0.286245045	0.286664741	0.281319888	0.286627386	0.295084379
4.5C	2	Ambient	BAA	Fallax	0.35476961	0.369457659	0.372848277	0.3929517	0.412735677
4.5C	3	Ambient	BAA	Fallax	0.451588102	0.452276207	0.490676418	0.491394489	0.51135123
4.5C	4	Ambient	BAA	Fallax	0.212031258	0.209661389	0.242726644	0.256068344	0.274192701
4.5C	5	Ambient	BAA	Fallax	0.122788653	0.137397868	0.195148774	0.219128943	0.26194714
4.5C	6	Ambient	BAA	Fallax	0.058601794	0.124872103	0.186494737	0.245007596	0.314330015
9C	1	Ambient	BAA	Fallax	0.085629321	0.082329507	0.079125978	0.073362069	0.0700196
9C	2	Ambient	BAA	Fallax	0.024040027	0.035578936	0.047371877	0.044680575	0.0463964
9C	3	Ambient	BAA	Fallax	0.037671419	0.029503563	0.06683937	0.050426034	0.05984
9C	4	Ambient	BAA	Fallax	0.027010912	0.070091365	0.093451737	0.095641383	0.1173136
9C	5	Ambient	BAA	Fallax	0.023101611	0.035407673	0.047553309	0.037649986	0.0652868
9C	6	Ambient	BAA	Fallax	0.022919659	0.036901384	0.047611015	0.004725084	0.06562
0C	1	Warm	BAW	Fallax	0.3696623	0.374759932	0.400224694	0.412759908	0.436132049
0C	2	Warm	BAW	Fallax	0.368064508	0.356600456	0.364348672	0.35682087	0.387203744
