Plate 	Moss	Well	Microbe	Chamber	Week.0	Week.4	Person
Plate 21	S. fallax	A1	Control 	12C	0.01368634	0.0598521	Alyssa
Plate 21	S. fallax	A2	Control 	12C	0.03292168	0.0469931	Alyssa
Plate 21	S. fallax	A3	Control 	12C	0.04420226	0.074305	Alyssa
Plate 21	S. fallax	A4	Control 	12C	0.04053992	0.0390236	Alyssa
Plate 21	S. fallax	B1	Control 	12C	0.1511793	0.1919379	Alyssa
Plate 21	S. fallax	B2	Control 	12C	0.03115836	0.0603526	Alyssa
Plate 21	S. fallax	B3	Control 	12C	0.05123196	0.0826133	Alyssa
Plate 21	S. fallax	B4	Control 	12C	0.03321	0.0415261	Alyssa
Plate 21	S. fallax	C1	Control 	12C	0.0924345	0.0373373	Alyssa
Plate 21	S. fallax	C2	Control 	12C	0.05208804	0.0554092	Alyssa
Plate 21	S. fallax	C3	Control 	12C	0.01894446	0.0495803	Alyssa
Plate 21	S. fallax	C4	Control 	12C	0.022509	0.0519057	Alyssa
Plate 22	S. fallax	A1	SMH	12C	0.0933382	0.0721644	Alyssa
Plate 22	S. fallax	A2	SMH	12C	0.10710283	0.1406097	Alyssa
Plate 22	S. fallax	A3	SMH	12C	0.08273731	0.0476707	Alyssa
Plate 22	S. fallax	A4	SMH	12C	0.04052263	0.0575421	Alyssa
Plate 22	S. fallax	B1	SMH	12C	0.13836247	0.1479247	Alyssa
Plate 22	S. fallax	B2	SMH	12C	0.0639044	0.1556863	Alyssa
Plate 22	S. fallax	B3	SMH	12C	0.05175312	0.0982135	Alyssa
Plate 22	S. fallax	B4	SMH	12C	0.04873104	0.0481327	Alyssa
Plate 22	S. fallax	C1	SMH	12C	0.09571494	0.20684125	Alyssa
Plate 22	S. fallax	C2	SMH	12C	0.1523632	0.19186125	Alyssa
Plate 22	S. fallax	C3	SMH	12C	0.05833244	0.1086225	Alyssa
Plate 22	S. fallax	C4	SMH	12C	0.13101976	0.1807925	Alyssa
Plate 23	S. fallax	A1	SMC	12C	0.06982575	0.10235724	Alyssa
